id,request_id_resolved,created_at,risk_score,conf_score,combined_score,risk_level,conf_classification,src_geo,src_device_type,dst_service_type,dst_security_policy,src_mfa_status_norm,hour_of_day,day_of_week,month,year,hour_sin,hour_cos,day_sin,day_cos,security_level_label
0,req_0,2025-09-30T16:01:20.759078,0.3948557278029286,0.460616131026259,0.37404185159073916,Medium,confidential,RU,desktop,queue,medium,disabled,16,1,9,2025,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,Medium
1,req_1,2025-09-30T16:00:20.759078,0.22540356907572526,0.18978673875777008,0.2145878378221738,Low,public,RU,mobile,database,medium,disabled,16,1,9,2025,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,Low
2,req_2,2025-09-30T15:59:20.759078,0.6172154907569167,0.6243206411075334,0.5555010611846908,High,public,EU,desktop,web,medium,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,High
3,req_3,2025-09-30T15:58:20.759078,0.5771217327268898,0.560283556617271,0.5063421971359241,High,public,RU,mobile,web,low,enabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,High
4,req_4,2025-09-30T15:57:20.759078,0.8322990952481758,0.91505442624998,0.6783968837240579,medium,confidential,US,desktop,database,high,enabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Very High
5,req_5,2025-09-30T15:56:20.759078,0.928259274938157,0.9178348072163762,0.9335109602202287,Critical,restricted,RU,mobile,web,low,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Critical
6,req_6,2025-09-30T15:55:20.759078,0.9058681755625964,0.9111096968140401,0.9116894414060457,Critical,confidential,JP,desktop,api,low,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Critical
7,req_7,2025-09-30T15:54:20.759078,0.5616288461749619,0.4139696310996171,0.4933242754984496,High,public,US,server,web,high,unknown,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,High
8,req_8,2025-09-30T15:53:20.759078,0.02831765212958508,0.03148329837142363,0.026208115272328785,medium,public,JP,iot,queue,low,unknown,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Very Low
9,req_9,2025-09-30T15:52:20.759078,0.6062557695954256,0.47730720334152604,0.6106703318381761,High,internal,EU,mobile,queue,high,enabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,High
10,req_10,2025-09-30T15:51:20.759078,0.9407562856582593,0.9578118968010911,0.9201087438697931,Critical,internal,US,iot,database,low,unknown,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Critical
11,req_11,2025-09-30T15:50:20.759078,0.2378642049854972,0.17253518264365741,0.20060113208928518,Low,restricted,JP,server,web,low,enabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Low
12,req_12,2025-09-30T15:49:20.759078,0.0303714230743393,0.028889137076530368,0.025726893704806648,medium,restricted,RU,desktop,database,medium,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Very Low
13,req_13,2025-09-30T15:48:20.759078,0.41437879262539207,0.4322632688598815,0.43674262495943694,Medium,confidential,US,desktop,queue,low,enabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Medium
14,req_14,2025-09-30T15:47:20.759078,0.30006032105540387,0.251617149352249,0.24214985210117299,Medium,restricted,BR,desktop,web,high,enabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Medium
15,req_15,2025-09-30T15:46:20.759078,0.16004647537655553,0.11422574892084883,0.1556759736550148,Low,public,JP,desktop,queue,medium,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Low
16,req_16,2025-09-30T15:45:20.759078,0.5218083287531666,0.5823883909220424,0.5731166909063211,High,internal,BR,mobile,database,medium,unknown,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,High
17,req_17,2025-09-30T15:44:20.759078,0.17538782051700358,0.20443213565529336,0.18233536608417586,Low,internal,RU,mobile,queue,medium,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Low
18,req_18,2025-09-30T15:43:20.759078,0.9572759607469493,0.789059623900178,0.7678440515045734,Critical,public,RU,server,queue,high,unknown,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Critical
19,req_19,2025-09-30T15:42:20.759078,0.5865779533688169,0.6238752590731909,0.5071148986714578,High,confidential,JP,server,queue,high,enabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,High
20,req_20,2025-09-30T15:41:20.759078,0.7820906640659112,0.7016810226283161,0.7035064616143087,medium,internal,US,desktop,web,low,enabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Very High
21,req_21,2025-09-30T15:40:20.759078,0.14347373030866037,0.16901662659356964,0.11761000657586056,Low,internal,RU,server,api,medium,enabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Low
22,req_22,2025-09-30T15:39:20.759078,0.46186123911407617,0.5332488216814127,0.44420797016697855,Medium,confidential,EU,desktop,queue,medium,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Medium
23,req_23,2025-09-30T15:38:20.759078,0.31486518916119016,0.26093342992045904,0.3139780972989535,Medium,confidential,BR,server,database,low,enabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Medium
24,req_24,2025-09-30T15:37:20.759078,0.7265545906252278,0.7827958907315956,0.7007240759491121,medium,restricted,JP,server,api,high,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Very High
25,req_25,2025-09-30T15:36:20.759078,0.7233194553812413,0.6301209469204467,0.6530599550458704,medium,public,JP,desktop,api,low,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Very High
26,req_26,2025-09-30T15:35:20.759078,0.5350379971036378,0.3778924173753302,0.5846212147281751,High,confidential,RU,server,api,high,unknown,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,High
27,req_27,2025-09-30T15:34:20.759078,0.7963937090542338,0.9048132194967285,0.7684090425753961,medium,internal,RU,iot,queue,medium,unknown,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Very High
28,req_28,2025-09-30T15:33:20.759078,0.3803810054906983,0.32163325920127706,0.35488006669796873,Medium,restricted,US,server,api,medium,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Medium
29,req_29,2025-09-30T15:32:20.760084,0.7449517040009361,0.7349675297932198,0.8034133527691505,medium,public,US,server,api,low,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Very High
30,req_30,2025-09-30T15:31:20.760084,0.7855935111654351,0.600236640792714,0.7822706694371048,medium,public,US,server,database,low,disabled,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Very High
31,req_31,2025-09-30T15:30:20.760084,0.9018369432911438,0.8449875882211829,0.9583002488163039,Critical,restricted,US,mobile,queue,high,unknown,15,1,9,2025,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,Critical
