id,request_id_resolved,created_at,risk_score,conf_score,combined_score,risk_level,conf_classification,src_geo,src_device_type,dst_service_type,dst_security_policy,src_mfa_status_norm,hour_of_day,day_of_week,month,year,hour_sin,hour_cos,day_sin,day_cos,security_level_label
0,req_0,2025-10-10T09:04:20.152057,0.8186974843140478,0.6109297442930105,0.7536682264989664,medium,confidential,RU,desktop,database,low,enabled,9,4,10,2025,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,Very High
1,req_1,2025-10-10T09:03:20.152057,0.5874934031788224,0.6467935551319705,0.4942443366010701,High,confidential,BR,iot,database,high,enabled,9,4,10,2025,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,High
2,req_2,2025-10-10T09:02:20.152057,0.9415322458542905,0.6939315369720921,0.9758378546270745,Critical,confidential,BR,iot,web,low,enabled,9,4,10,2025,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,Critical
3,req_3,2025-10-10T09:01:20.152057,0.26796387679215616,0.24470723562445193,0.2671236796529873,Low,public,BR,iot,queue,high,unknown,9,4,10,2025,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,Low
4,req_4,2025-10-10T09:00:20.152057,0.3276806372438818,0.3902121987512142,0.3168690016019006,Medium,confidential,US,mobile,api,medium,disabled,9,4,10,2025,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,Medium
5,req_5,2025-10-10T08:59:20.152057,0.4163017894482169,0.4350987268465316,0.3641506192175913,Medium,confidential,RU,iot,web,medium,unknown,8,4,10,2025,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,Medium
6,req_6,2025-10-10T08:58:20.152057,0.6445981327396444,0.5546394637867695,0.5485541401321464,High,public,US,iot,api,low,unknown,8,4,10,2025,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,High
7,req_7,2025-10-10T08:57:20.152057,0.057505424923911044,0.049373308016616275,0.0577114893396381,medium,internal,US,server,web,medium,enabled,8,4,10,2025,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,Very Low
8,req_8,2025-10-10T08:56:20.152057,0.06787033149514195,0.05896205344111575,0.06682762608512897,medium,public,EU,iot,queue,high,unknown,8,4,10,2025,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,Very Low
9,req_9,2025-10-10T08:55:20.152057,0.026378030908286634,0.030567419352341276,0.027298367132116228,medium,internal,US,server,queue,high,disabled,8,4,10,2025,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,Very Low
10,req_10,2025-10-10T08:54:20.152057,0.7203225603575724,0.7693196019735241,0.7173603885871646,medium,confidential,US,server,database,high,unknown,8,4,10,2025,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,Very High
11,req_11,2025-10-10T08:53:20.152057,0.8945215545166976,0.8684619154835026,0.7299494288081293,medium,internal,JP,mobile,queue,low,unknown,8,4,10,2025,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,Very High
12,req_12,2025-10-10T08:52:20.152057,0.2317336213462787,0.23792895770981579,0.19628389742902175,Low,internal,JP,server,database,low,disabled,8,4,10,2025,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,Low
13,req_13,2025-10-10T08:51:20.152057,0.47088308267897333,0.45300724074887716,0.4992340490948456,Medium,public,EU,iot,api,high,disabled,8,4,10,2025,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,Medium
14,req_14,2025-10-10T08:50:20.152057,0.17316080583359397,0.12403421529229772,0.15206791176631082,Low,public,JP,iot,database,medium,unknown,8,4,10,2025,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,Low
