text,label
Client contract negotiations and pricing strategies.,confidential
Strategic business plans and competitive analysis reports.,confidential
Company policy draft for internal distribution only.,internal
Database passwords and system administrator credentials. token7201 token7924,restricted
Payment card numbers and authentication secrets for production.,restricted
Customer database with contact information and preferences. email jane.smith@example.com  token4582 token5557,confidential
General guidelines for visitors and FAQ published on website. token2535 token2584,public
Financial report including revenue projections and client contracts.,confidential
Internal knowledge base article and onboarding checklist.,internal
Open dataset description and public API usage examples. token3615 token4257,public
Employee personal information and medical records. email admin@example.com ,confidential
Internal training materials and process documentation.,internal
Security incident reports and vulnerability assessments.,restricted
"Encryption keys, private certificates, and admin credentials. password admin123  token1106 token5552",restricted
Internal memo about team processes and meeting notes.,internal
Security incident reports and vulnerability assessments. email admin@example.com  credit card 4111111111111111  token7201 token7224,restricted
Open dataset description and public API usage examples.,public
Security incident reports and vulnerability assessments. token4657 token9279,restricted
Contains personal data: email addresses and phone numbers of clients. email jane.smith@example.com  token4733 token7924,confidential
Legal documents under attorney-client privilege.,restricted
Customer PII records and account identifiers to be restricted.,confidential
HR document with salary bands and employee performance reviews.,confidential
HR document with salary bands and employee performance reviews.,confidential
Department budget planning and resource allocation.,internal
Financial report including revenue projections and client contracts. token6925 token9928,confidential
Legal documents under attorney-client privilege. email john.doe@example.com  token4582 token3045,restricted
Customer PII records and account identifiers to be restricted.,confidential
General guidelines for visitors and FAQ published on website.,public
M&A documents and undisclosed strategic plans for executives. email admin@example.com  password admin123 ,restricted
Legal documents under attorney-client privilege. token4657 token9785,restricted
Company policy draft for internal distribution only. token4582 token2519,internal
Database passwords and system administrator credentials. email jane.smith@example.com  token7912 token6635,restricted
HR document with salary bands and employee performance reviews.,confidential
Strategic business plans and competitive analysis reports. email jane.smith@example.com  token5803 token9279,confidential
Department budget planning and resource allocation.,internal
Internal memo about team processes and meeting notes.,internal
Strategic business plans and competitive analysis reports. email jane.smith@example.com  token4611 token8359,confidential
Database passwords and system administrator credentials. email jane.smith@example.com  password secret_key  token2291 token1106,restricted
M&A documents and undisclosed strategic plans for executives. email admin@example.com  token3547 token2679,restricted
HR document with salary bands and employee performance reviews. email jane.smith@example.com ,confidential
Database passwords and system administrator credentials.,restricted
Internal memo about team processes and meeting notes.,internal
Open dataset description and public API usage examples. token6925 token9785,public
Department budget planning and resource allocation.,internal
Press release about product launch and public event schedule.,public
Press release about product launch and public event schedule.,public
Marketing blog post with public information and announcements.,public
Contains personal data: email addresses and phone numbers of clients.,confidential
Legal documents under attorney-client privilege.,restricted
Internal training materials and process documentation.,internal
Community forum posts and public support articles.,public
Press release about product launch and public event schedule.,public
Company news and public statements for media distribution.,public
Open dataset description and public API usage examples.,public
Trade secrets and proprietary algorithms.,restricted
Company policy draft for internal distribution only.,internal
Open dataset description and public API usage examples. token7201 token5552,public
"Encryption keys, private certificates, and admin credentials. email jane.smith@example.com ",restricted
Database passwords and system administrator credentials. token4733 token1520,restricted
Press release about product launch and public event schedule. token2824 token3615,public
Contains personal data: email addresses and phone numbers of clients.,confidential
Contains personal data: email addresses and phone numbers of clients. token1409 token8527,confidential
Client contract negotiations and pricing strategies. token9279 token4150,confidential
Internal memo about team processes and meeting notes.,internal
Customer PII records and account identifiers to be restricted. token5333 token1750,confidential
Internal knowledge base article and onboarding checklist.,internal
Contains personal data: email addresses and phone numbers of clients.,confidential
Press release about product launch and public event schedule. token5506 token8359,public
Database passwords and system administrator credentials. credit card 5555555555554444 ,restricted
Sprint retrospective and internal roadmap items.,internal
"Encryption keys, private certificates, and admin credentials.",restricted
Financial report including revenue projections and client contracts. token5557 token4811,confidential
Internal training materials and process documentation.,internal
