id,request_id,created_at,risk_score,risk_level,risk_anomaly_score,risk_recent_incidents,risk_policy_overrides_count,conf_score,conf_classification,conf_tags_count,conf_patterns_count,src_ip_private,src_geo,src_mfa_status_norm,src_device_type,src_security_status,dst_service_type,dst_security_policy,dst_tls13_allowed,dst_protocols_count,headers_count,hour_of_day,day_of_week,month,combined_score,security_level_label,encryption_script_label,processing_priority_label
422,req_1759261358843_9fb8172c,2025-09-30 19:42:38.854127+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
421,req_1759261303054_8fc28845,2025-09-30 19:41:43.072086+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
420,req_1759261121783_1719fb73,2025-09-30 19:38:41.796731+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
419,req_1759259769703_b78fb9d1,2025-09-30 19:16:09.712819+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
418,req_1759259710246_819151df,2025-09-30 19:15:10.296239+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
417,req_1759259710213_6e505c32,2025-09-30 19:15:10.224081+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
416,req_1759259673256_9e2eff6c,2025-09-30 19:14:33.271260+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
415,req_1759259024716_2acd6619,2025-09-30 19:03:44.727167+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
414,req_1759258971166_57cd1914,2025-09-30 19:02:51.182147+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
413,req_1759258971139_c368a560,2025-09-30 19:02:51.150297+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
412,req_1759258931040_cc0e90f3,2025-09-30 19:02:11.114951+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
411,req_1759258930750_e4ed67ac,2025-09-30 19:02:10.930419+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,19.0,2.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
410,req_1759074667019_c2bb4356,2025-09-28 15:51:07.032914+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,15.0,0.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
409,req_1759073581381_4b75f04f,2025-09-28 15:33:01.392934+00:00,0.55,medium,0.0,0,1,0.3,public,0,0,False,Unknown,unknown,unknown,unknown,database,high,True,1,0,15.0,0.0,9.0,0.45,critical,mtls_aes256_gcm_x25519,high_priority
