iter	Logloss
0	0.6515324336
1	0.6155133122
2	0.5835748929
3	0.5558726662
4	0.5309427072
5	0.5095557466
6	0.4909229607
7	0.4746474953
8	0.46011251
9	0.447327757
10	0.4363464752
11	0.4267159457
12	0.4179472748
13	0.4103301575
14	0.4035332058
15	0.397947753
16	0.393040628
17	0.3882163274
18	0.3840951906
19	0.3802564205
20	0.3767750803
21	0.3737977825
22	0.3711948012
23	0.369145221
24	0.3670907119
25	0.3651138756
26	0.3634592832
27	0.3619688311
28	0.3605831763
29	0.3593561474
30	0.3582712101
31	0.357279004
32	0.3563691693
33	0.3556179345
34	0.3548876227
35	0.3542049527
36	0.3536263691
37	0.3532118913
38	0.3527088157
39	0.3522874108
40	0.3518810733
41	0.3515293915
42	0.3512661876
43	0.3509586189
44	0.3507279484
45	0.3505170134
46	0.3503114318
47	0.3501087124
48	0.3499199741
49	0.3497595353
50	0.3496146309
51	0.3494834269
52	0.3493577158
53	0.3492493436
54	0.3491688471
55	0.3490687191
56	0.3489975302
57	0.348912344
58	0.3488344923
59	0.3487713528
60	0.3487075272
61	0.3486533707
62	0.3485989379
63	0.3485459935
64	0.348496786
65	0.3484567708
66	0.3484352104
67	0.3483970457
68	0.348367713
69	0.3483402967
70	0.3483162777
71	0.3482895579
72	0.3482653551
73	0.3482428171
74	0.3482328953
75	0.3482178095
76	0.3482039364
77	0.3481857872
78	0.3481732195
79	0.3481600921
80	0.3481450707
81	0.348130829
82	0.3481240521
83	0.3481185874
84	0.3481131412
85	0.3481058969
86	0.3480985827
87	0.3480902069
88	0.3480834425
89	0.348076613
90	0.3480716123
91	0.3480663244
92	0.3480601975
93	0.34805376
94	0.3480483948
95	0.348043078
96	0.3480373116
97	0.3480309588
98	0.3480272713
99	0.3480257665
100	0.3480214912
101	0.3480185904
102	0.3480162918
103	0.3480140806
104	0.3480098873
105	0.3480068426
106	0.348005223
107	0.3480036982
108	0.3480007283
109	0.3479989185
110	0.3479968924
111	0.3479958034
112	0.3479938789
113	0.3479914903
114	0.347990188
115	0.3479882706
116	0.3479865367
117	0.3479847984
118	0.347983467
119	0.3479823565
120	0.3479811484
121	0.3479799108
122	0.3479786414
123	0.3479757666
124	0.347974888
125	0.347974082
126	0.3479730752
127	0.3479713612
128	0.3479693377
129	0.3479686633
130	0.3479662594
131	0.3479652195
132	0.3479643256
133	0.347964092
134	0.3479639313
135	0.3479621089
136	0.3479615506
137	0.3479610539
138	0.3479603237
139	0.3479590344
140	0.3479573629
141	0.34795492
142	0.3479540839
143	0.3479535141
144	0.3479524593
145	0.3479517241
146	0.3479514309
147	0.3479502037
148	0.3479495154
149	0.3479480028
150	0.3479469503
151	0.3479457684
152	0.3479449262
153	0.3479444171
154	0.3479429762
155	0.3479427919
156	0.3479427348
157	0.3479423106
158	0.3479413917
159	0.3479412843
160	0.3479407576
161	0.3479399265
162	0.3479394933
163	0.347937681
164	0.347937005
165	0.3479362327
166	0.3479361536
167	0.3479356596
168	0.3479352898
169	0.3479351106
170	0.3479344471
171	0.3479344441
172	0.3479334899
173	0.3479320709
174	0.3479315759
175	0.3479309323
176	0.3479305619
177	0.3479305245
178	0.347930071
179	0.3479291605
180	0.3479287316
181	0.347928006
182	0.3479274573
183	0.3479266992
184	0.3479263682
185	0.3479255712
186	0.3479246543
187	0.3479242785
188	0.3479229807
189	0.3479225986
190	0.3479223897
191	0.3479217935
192	0.34792165
193	0.3479200008
194	0.3479197759
195	0.3479194622
196	0.3479186761
197	0.3479184199
198	0.3479171808
199	0.3479166413
200	0.3479159855
201	0.3479154424
202	0.3479147594
203	0.3479146083
204	0.3479141847
205	0.3479137028
206	0.34791367
207	0.34791367
208	0.3479133256
209	0.3479129091
210	0.3479126943
211	0.3479119948
212	0.3479115166
213	0.347910735
214	0.3479098481
215	0.3479091614
216	0.347909034
217	0.3479088194
218	0.3479086206
219	0.3479072891
220	0.3479070406
221	0.3479067806
222	0.347905987
223	0.3479056811
224	0.3479056634
225	0.3479049841
226	0.3479040457
