iter	Passed	Remaining
0	4292	4288607
1	8780	4381685
2	12257	4073601
3	16256	4047837
4	20112	4002336
5	23599	3909686
6	27119	3847146
7	31176	3865859
8	34649	3815345
9	38813	3842558
10	42894	3856616
11	47084	3876656
12	50607	3842296
13	54216	3818403
14	57869	3800108
15	61678	3793233
16	65352	3778903
17	68851	3756214
18	72664	3751766
19	76607	3753780
20	80547	3755047
21	85141	3784943
22	89797	3814435
23	93751	3812577
24	98171	3828688
25	102709	3847670
26	106720	3845882
27	110796	3846231
28	114339	3828406
29	118490	3831205
30	122611	3832593
31	125491	3796119
32	129648	3799096
33	133514	3793394
34	137017	3777767
35	140786	3769943
36	144420	3758837
37	146897	3718824
38	150851	3717134
39	155315	3727574
40	160247	3748217
41	165170	3767468
42	167004	3716823
43	171711	3730817
44	176317	3741840
45	180355	3740417
46	181637	3682998
47	186073	3690452
48	190061	3688742
49	194298	3691674
50	198147	3687101
51	202142	3685216
52	205722	3675838
53	209222	3665260
54	210254	3612562
55	214072	3608647
56	217750	3602434
57	221399	3595825
58	224992	3588439
59	228226	3575541
60	230667	3550761
61	234554	3548580
62	238244	3543414
63	241370	3530042
64	245575	3532506
65	249630	3532647
66	251379	3500560
67	255359	3499923
68	259473	3501018
69	262967	3493709
70	266946	3492861
71	268840	3465061
72	272939	3465954
73	276143	3455528
74	277182	3418587
75	280805	3414001
76	285312	3420047
77	289716	3424596
78	294267	3430633
79	296465	3409348
80	300644	3411020
81	303944	3402691
82	305797	3378514
83	310135	3381956
84	313737	3377291
85	317723	3376737
86	320914	3367756
87	323317	3350749
88	325715	3334014
89	329164	3328218
90	332857	3324919
91	336626	3322360
92	341092	3326567
93	346155	3336348
94	350180	3335933
95	354623	3339370
96	359234	3344217
97	363817	3348604
98	368526	3353963
99	370582	3335241
100	375497	3342300
101	379810	3343824
102	383901	3343298
103	387944	3342289
104	391989	3341245
105	395748	3337729
106	399682	3335664
107	403760	3334766
108	407551	3331451
109	411667	3330764
110	415327	3326361
111	416888	3305333
112	420524	3300932
113	421598	3276631
114	425869	3277344
115	429726	3274810
116	432251	3262208
117	435872	3257965
118	439498	3253763
119	443520	3252485
120	447238	3248949
121	451311	3247961
122	456019	3251454
123	460594	3253875
124	465911	3261377
125	469788	3258691
126	473667	3256001
127	478241	3258023
128	482292	3256411
129	486288	3254395
130	489608	3247862
131	493819	3247235
132	497727	3244587
133	501948	3243935
134	503743	3227688
135	507698	3225375
136	511151	3219881
137	515483	3219907
138	519952	3220713
139	520958	3200174
140	525075	3198864
141	529132	3197150
142	534130	3201045
143	538810	3202931
144	543515	3204864
145	548095	3205984
146	552456	3205751
147	556606	3204250
148	561084	3204583
149	564916	3201194
150	568705	3197557
151	572766	3195434
152	576604	3192054
153	580623	3189656
154	584613	3187085
155	588307	3182891
156	589257	3163976
157	593191	3161185
158	597806	3161982
159	602758	3164480
160	608717	3172137
161	613569	3173898
162	617823	3172506
163	621570	3168491
164	625492	3165370
165	629312	3161727
166	633318	3159005
167	637229	3155801
168	641122	3152502
169	645252	3150348
170	649275	3147658
171	652106	3139212
172	655900	3135430
173	659933	3132786
174	663758	3129145
175	667560	3125395
176	671061	3120248
177	672958	3107705
178	676732	3103895
179	680985	3102266
180	684899	3099076
181	689114	3097229
182	693200	3094779
183	696966	3090893
184	700449	3085765
185	704355	3082502
186	708015	3078163
187	711732	3074077
188	715614	3070706
189	719482	3067265
190	723367	3063894
191	728096	3064073
192	732624	3063357
193	736778	3061049
194	741213	3059882
195	744679	3054705
196	746899	3044469
197	748572	3032095
198	753082	3031252
199	757357	3029429
200	762113	3029495
201	766470	3027938
202	770266	3024151
203	774953	3023836
204	779291	3022130
205	783820	3021134
206	786455	3012847
207	787026	2996755
208	792011	2997515
209	797231	2999109
210	802207	2999723
211	806483	2997685
212	810379	2994217
213	814939	2993187
214	819457	2991973
215	824133	2991298
216	825982	2980389
217	830757	2980056
218	836719	2983918
219	841979	2985199
220	847636	2987822
221	852183	2986482
222	856322	2983688
223	860150	2979807
224	868062	2989992
225	876301	3001137
226	884689	3012622
