event_id,account_id,event_type,event_source,timestamp_utc,timezone,amount,currency,transaction_type,channel,timestamp_local,user_type,user_segment,user_risk_class,registered_country,registered_region,account_creation_date,account_age_days,sensitive_data_change_last_7d,registered_devices_count,active_devices_last_30d,hour_of_day,day_of_week,is_weekend,is_local_holiday,seconds_since_last_login,seconds_since_last_transaction,transactions_last_1h,transactions_last_24h,transactions_last_7d,transactions_last_30d,amount_sum_last_24h,amount_sum_last_7d,amount_sum_last_30d,amount_mean_last_30d,amount_std_last_30d,logins_last_24h,login_failures_last_24h,password_resets_last_30d,transaction_description,beneficiary_bank_code,merchant_category_code,is_round_amount,is_international,amount_increase_vs_30d_mean,ip_address,ip_country,ip_region,ip_city,ip_asn,ip_isp,is_vpn,is_datacenter_ip,geolocation_lat,geolocation_lon,ip_blacklisted,is_proxy,is_tor,connection_type,is_location_anomaly,distance_from_registered_location_km,device_id,device_type,os_family,os_version,browser_family,browser_version,app_version,is_emulator,is_rooted_or_jailbroken,is_new_device_for_user,devices_last_30d,is_device_compromised,tls_version,cipher_strength_bits,waf_present,waf_vendor,ids_present,ips_present,antimalware_present,antimalware_vendor,mfa_enabled,mfa_method,device_binding_enabled,risk_engine_version,security_score_tech,previous_fraud_count,previous_chargeback_count,account_takeover_flag,velocity_alert_flag,blacklist_hit,whitelist_hit,money_mule_score,device_fingerprint_match_count,ip_reputation_score,fraud_probability,is_fraud,fraud_type,message_text,message_length,message_language,contains_url,contains_phone,num_special_chars,llm_risk_score,llm_risk_reasoning,llm_phishing_detected,llm_sentiment_score,llm_urgency_score
E0000004699,A0000044,mfa_setup,web_app,2025-01-01 00:09:33,Africa/Lagos,,,,web,2025-01-01 01:09:33+01:00,individual,retail,high,NG,North Dakota,2025-01-01,0,0,0,0,0,2,0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,0,0,,192.168.0.233,US,California,San Francisco,AS15169,Google LLC,0,0,37.7749,-122.4194,0,0,0,ethernet,1,8745.146,,unknown,unknown,,,,,0,0,1,0,0,TLS1_3,256,1,Imperva,0,1,1,GenericAV,1,totp,1,1.0.0,0.8333333,2,1,0,0,0,0,0.0,1,0.70398915,0.32121956,1,phishing_induced,,0,en,False,False,0,0.0,,0,0.0,0.0
E0000003394,A0000034,transaction,web_app,2025-01-01 00:24:31,America/Sao_Paulo,763.6886,BRL,pix,mobile_android,2024-12-31 21:24:31-03:00,individual,retail,medium,BR,Connecticut,2025-01-01,0,0,0,0,0,2,0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,PIX payment,949,,0,0,0.0,192.168.0.85,US,California,San Francisco,AS15169,Google LLC,0,0,37.7749,-122.4194,0,0,0,ethernet,1,5697.114,,unknown,unknown,,,,,0,0,1,0,0,TLS1_3,256,0,,1,1,1,GenericAV,0,,1,1.0.0,0.6666667,0,0,0,0,0,0,0.0,1,0.41861653,0.10279027,0,,Transaction of $763.69,22,en,False,False,2,0.0,,0,0.0,0.0
E0000002886,A0000028,transaction,web_app,2025-01-01 00:27:30,America/Sao_Paulo,4487.045,BRL,bill_payment,web,2024-12-31 21:27:30-03:00,business,corporate,medium,BR,Washington,2025-01-01,0,0,0,0,0,2,0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,BILL_PAYMENT payment,733,,0,0,0.0,192.168.0.67,US,California,San Francisco,AS15169,Google LLC,0,0,37.7749,-122.4194,0,0,0,wifi,1,14799.351,,unknown,unknown,,,,,0,0,1,0,0,TLS1_3,256,1,Imperva,0,1,1,GenericAV,1,push,1,1.0.0,0.8333333,0,0,0,0,0,0,0.0,1,0.8887551,0.053536594,0,,Transaction of $4487.05,23,en,False,False,2,0.0,,0,0.0,0.0
E0000001873,A0000021,login,mobile_app,2025-01-01 00:36:50,Africa/Lagos,,,,mobile_android,2025-01-01 01:36:50+01:00,individual,retail,high,BR,Kentucky,2025-01-01,0,0,0,0,0,2,0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,0,0,,192.168.0.173,US,California,San Francisco,AS15169,Google LLC,0,0,37.7749,-122.4194,0,0,0,cellular_4g,1,12913.65,,unknown,unknown,,,,,0,0,1,0,0,TLS1_2,128,1,Imperva,1,1,1,GenericAV,0,,1,1.0.0,0.8333333,3,0,0,0,0,0,0.0,1,0.76919514,0.25697565,0,,Login of $nan,13,en,False,False,1,0.0,,0,0.0,0.0
E0000000080,A0000001,transaction,mobile_app,2025-01-01 00:42:58,Europe/Moscow,449.6568,BRL,pix,call_center,2025-01-01 03:42:58+03:00,individual,retail,high,BR,Wisconsin,2025-01-01,0,0,0,0,0,2,0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,PIX payment,385,,0,0,0.0,192.168.0.220,US,California,San Francisco,AS15169,Google LLC,0,0,37.7749,-122.4194,0,0,0,wifi,1,5349.813,,unknown,unknown,,,,,0,0,1,0,0,TLS1_2,128,1,Akamai,1,0,1,GenericAV,1,push,0,1.0.0,0.6666667,2,1,0,0,0,0,0.0,1,0.8780953,0.4,1,money_mule,Transaction of $449.66,22,en,False,False,2,0.0,,0,0.0,0.0
E0000003451,A0000034,transaction,mobile_app,2025-01-01 00:45:36,America/Sao_Paulo,38.176838,BRL,pix,web,2024-12-31 21:45:36-03:00,individual,retail,medium,BR,Connecticut,2025-01-01,0,0,0,0,0,2,0,0,,1265.0,1,1,1,1,763.6886,763.6886,763.6886,763.6886,0.0,0,0,0,PIX payment,889,,0,0,0.04999006,192.168.0.4,US,California,San Francisco,AS15169,Google LLC,0,0,37.7749,-122.4194,0,0,0,wifi,1,13799.561,,unknown,unknown,,,,,0,0,0,1,0,TLS1_3,256,0,,0,1,1,GenericAV,1,sms,1,1.0.0,0.6666667,0,0,0,0,0,0,0.0,1,0.86481106,0.12848783,0,,Transaction of $38.18,21,en,False,False,2,0.0,,0,0.0,0.0
E0000005498,A0000049,transaction,web_app,2025-01-01 00:57:50,Europe/Berlin,7829.9985,BRL,wire,web,2025-01-01 01:57:50+01:00,business,corporate,medium,DE,Colorado,2025-01-01,0,0,0,0,0,2,0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,WIRE payment,800,,0,0,0.0,192.168.0.137,US,California,San Francisco,AS15169,Google LLC,0,0,37.7749,-122.4194,0,0,0,wifi,1,9849.607,,unknown,unknown,,,,,0,0,1,0,0,TLS1_3,256,1,Imperva,1,0,1,GenericAV,1,push,1,1.0.0,0.8333333,0,0,0,0,0,0,0.0,1,0.4698326,0.13919514,0,,Transaction of $7830.00,23,en,False,False,2,0.0,,0,0.0,0.0
E0000001800,A0000020,login,mobile_app,2025-01-01 01:04:34,America/New_York,,,,mobile_ios,2024-12-31 20:04:34-05:00,business,corporate,medium,US,AS,2025-01-01,0,0,0,0,1,2,0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,0,0,,192.168.0.96,US,California,San Francisco,AS15169,Google LLC,0,0,37.7749,-122.4194,0,0,0,wifi,0,160.76495,,unknown,unknown,,,,,0,0,1,0,0,TLS1_3,256,0,,0,1,1,GenericAV,0,,1,1.0.0,0.5,0,0,0,0,0,0,0.0,1,0.6304965,0.07495123,0,,Login of $nan,13,en,False,False,1,0.0,,0,0.0,0.0
E0000004200,A0000041,login,mobile_app,2025-01-01 01:22:36,America/Brasilia,,,,mobile_android,2025-01-01 01:22:36+00:00,individual,retail,medium,PT,Oklahoma,2025-01-01,0,0,0,0,1,2,0,0,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,0,0,,192.168.0.16,US,California,San Francisco,AS15169,Google LLC,0,0,37.7749,-122.4194,0,1,0,cellular_4g,1,9058.489,,unknown,unknown,,,,,0,0,1,0,0,TLS1_3,256,1,Cloudflare,1,1,1,GenericAV,1,totp,1,1.0.0,1.0,0,0,0,0,0,0,0.0,1,0.7575413,0.08565855,0,,Login of $nan,13,en,False,False,1,0.0,,0,0.0,0.0
E0000003391,A0000034,transaction,mobile_app,2025-01-01 01:27:43,America/Sao_Paulo,363.96597,BRL,pix,mobile_android,2024-12-31 22:27:43-03:00,individual,retail,medium,BR,Connecticut,2025-01-01,0,0,0,0,1,2,0,0,,2527.0,1,2,2,2,801.8654,801.8654,801.8654,400.9327,362.7559,0,0,0,PIX payment,652,,0,0,0.9077982,192.168.0.65,US,California,San Francisco,AS15169,Google LLC,0,0,37.7749,-122.4194,0,0,0,cellular_4g,1,8313.726,,unknown,unknown,,,,,0,0,0,1,0,TLS1_3,256,1,Akamai,1,1,1,GenericAV,1,sms,1,1.0.0,1.0,0,0,0,0,0,0,0.0,1,0.6432285,0.10279027,0,,Transaction of $363.97,22,en,False,False,2,0.0,,0,0.0,0.0
