feature,type,psi
transactions_last_30d,numeric,0.05355207960944669
amount_sum_last_30d,numeric,0.035914169416891434
account_age_days,numeric,0.029291600326800005
password_resets_last_30d,numeric,0.020645410158264873
amount_std_last_30d,numeric,0.00433550023527841
amount_mean_last_30d,numeric,0.0036614099494984105
transactions_last_7d,numeric,0.002949209413095485
amount_sum_last_7d,numeric,0.0011914667380647362
day_of_week,numeric,0.0003761397877563434
amount_increase_vs_30d_mean,numeric,0.00012036890233968855
seconds_since_last_login,numeric,7.70631315726002e-05
merchant_category_code,numeric,4.334421335003694e-05
transactions_last_24h,numeric,3.2509946215335316e-05
seconds_since_last_transaction,numeric,3.186817248515171e-05
account_creation_date,categorical,2.98809018713711e-05
amount_sum_last_24h,numeric,2.983104617356793e-05
registered_region,categorical,2.7304561422328323e-05
timestamp_utc,categorical,1.8994441484348904e-05
channel,categorical,1.5394991719031987e-05
amount,numeric,1.1273856296739479e-05
beneficiary_bank_code,numeric,9.264953766947983e-06
event_type,categorical,9.067988323509697e-06
distance_from_registered_location_km,numeric,8.386088882584548e-06
fraud_probability,numeric,7.1875283832344565e-06
hour_of_day,numeric,5.807150558764154e-06
timezone,categorical,5.405021264772092e-06
logins_last_24h,numeric,5.359929939046435e-06
timestamp_local,categorical,5.13385475082614e-06
transaction_type,categorical,5.1010797429381785e-06
connection_type,categorical,3.106528892796449e-06
registered_country,categorical,2.489896761706129e-06
ip_reputation_score,numeric,2.138618487569537e-06
transactions_last_1h,numeric,2.081524633641055e-06
mfa_method,categorical,1.7362626847644343e-06
waf_vendor,categorical,1.4600202269385653e-06
message_length,numeric,1.0512743271134426e-06
security_score_tech,numeric,1.0463329814639298e-06
event_source,categorical,5.931467500776007e-07
user_risk_class,categorical,5.428549145144736e-07
previous_fraud_count,numeric,3.263789230394768e-07
previous_chargeback_count,numeric,3.0300226421274424e-07
currency,categorical,2.7590932432829877e-07
tls_version,categorical,1.6029818400851295e-07
user_type,categorical,1.0445248751246066e-07
user_segment,categorical,1.0445248751246066e-07
num_special_chars,numeric,3.1962359569082564e-08
antimalware_vendor,categorical,8.755233787932202e-09
contains_url,categorical,0.0
message_language,categorical,0.0
risk_engine_version,categorical,0.0
device_type,categorical,0.0
os_family,categorical,0.0
ip_isp,categorical,0.0
ip_asn,categorical,0.0
ip_city,categorical,0.0
ip_region,categorical,0.0
ip_country,categorical,0.0
contains_phone,categorical,0.0
sensitive_data_change_last_7d,numeric,
registered_devices_count,numeric,
active_devices_last_30d,numeric,
is_weekend,numeric,
is_local_holiday,numeric,
login_failures_last_24h,numeric,
is_round_amount,numeric,
is_international,numeric,
is_vpn,numeric,
is_datacenter_ip,numeric,
geolocation_lat,numeric,
geolocation_lon,numeric,
ip_blacklisted,numeric,
is_proxy,numeric,
is_tor,numeric,
is_location_anomaly,numeric,
os_version,numeric,
browser_family,numeric,
browser_version,numeric,
app_version,numeric,
is_emulator,numeric,
is_rooted_or_jailbroken,numeric,
is_new_device_for_user,numeric,
devices_last_30d,numeric,
is_device_compromised,numeric,
cipher_strength_bits,numeric,
waf_present,numeric,
ids_present,numeric,
ips_present,numeric,
antimalware_present,numeric,
mfa_enabled,numeric,
device_binding_enabled,numeric,
account_takeover_flag,numeric,
velocity_alert_flag,numeric,
blacklist_hit,numeric,
whitelist_hit,numeric,
money_mule_score,numeric,
device_fingerprint_match_count,numeric,
llm_risk_score,numeric,
llm_phishing_detected,numeric,
llm_sentiment_score,numeric,
llm_urgency_score,numeric,
