scenario_name,scenario_category,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,timestamp
Ultra Security with QKD,quantum,exp-ultra-qkd-001,ultra,0.95,0.98,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.10374641418457,True,59.1176721748033,0.49270970052845187,2025-10-20T16:23:14.169073
High Security with QKD,quantum,exp-high-qkd-002,high,0.85,0.9,True,"['QKD_MDI-QKD', 'PQC_KYBER', 'AES_256_GCM']",[],6.112789154052734,True,24.25937351319576,0.6625273644014231,2025-10-20T16:23:22.432364
Very High Security with PQC,post_quantum,exp-veryhigh-pqc-003,very_high,0.82,0.88,False,"['AES_192', 'AES_256_GCM']",[],6.125734329223633,True,36.31363715316989,0.5690630912186018,2025-10-20T16:23:30.699405
High Security Hybrid,hybrid,exp-high-hybrid-004,very_high,0.78,0.82,False,"['HYBRID_ECC_PQC', 'AES_256_GCM']",[],6.11733341217041,False,479.7032803414472,0.3106038488358033,2025-10-20T16:23:38.964189
Moderate Security Classical,classical,exp-moderate-classical-005,moderate,0.45,0.5,False,['AES_256_GCM'],[],6.144052505493164,True,96.00429321953848,0.3041939631947573,2025-10-20T16:23:47.264887
Low Security Minimal,classical,exp-low-minimal-006,low,0.15,0.2,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.149856805801392,True,50.19076926475374,0.6380382139403482,2025-10-20T16:23:55.561270
Peak Attack Time with QKD,stress_test,exp-peak-qkd-007,high,0.88,0.85,True,"['ECC_521', 'PQC_KYBER', 'AES_256_GCM']",[],6.134470701217651,True,39.655065721161854,0.40269090254253515,2025-10-20T16:24:03.824985
Limited Resources High Security,stress_test,exp-limited-high-008,high,0.75,0.8,False,"['AES_192', 'AES_256_GCM']",[],6.137106895446777,True,35.363277304398295,0.5036022373896167,2025-10-20T16:24:12.095097
High Latency Network,network_conditions,exp-highlatency-009,high,0.65,0.7,False,"['FALLBACK_AES', 'AES_256_GCM']",[],6.144111156463623,True,26.873965046249868,0.5221782250665934,2025-10-20T16:24:20.387712
Night Weekend High Risk,temporal,exp-night-weekend-010,high,0.7,0.75,True,"['AES_192', 'PQC_KYBER', 'AES_256_GCM']",[],6.139125823974609,True,44.955412850414625,0.5816499521316295,2025-10-20T16:24:28.672111
