scenario_name,scenario_category,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,timestamp,system_load,available_resources,network_latency
QKD Very High - E91,quantum,qkd-veryhigh-e91-002,very_high,0.88,0.92,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.087615251541138,True,76.07,0.83,2025-10-22T08:59:15.543093,0.35,0.88,
PQC High - SPHINCS,post_quantum,pqc-high-sphincs-011,high,0.76,0.8,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.113249778747559,True,50.0,0.67,2025-10-22T08:59:23.993833,0.6,0.65,
PQC Very High - DILITHIUM,post_quantum,pqc-veryhigh-dilithium-007,very_high,0.85,0.88,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.137969732284546,True,50.64,0.66,2025-10-22T08:59:32.467126,0.55,0.7,
Hybrid High - Transition,hybrid,hybrid-high-trans-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.095535755157471,True,46.56,0.67,2025-10-22T08:59:40.907453,0.58,0.68,
PQC Ultra - FALCON,post_quantum,pqc-ultra-falcon-010,ultra,0.94,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.119662046432495,True,40.23,0.65,2025-10-22T08:59:49.372997,0.48,0.78,
QKD Ultra Security - BB84,quantum,qkd-ultra-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.1270294189453125,True,68.77,0.83,2025-10-22T08:59:57.813498,0.3,0.9,
QKD High - MDI-QKD,quantum,qkd-high-mdi-004,high,0.8,0.85,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.0962605476379395,True,66.84,0.85,2025-10-22T09:00:06.231976,0.48,0.78,
Classical Moderate - RSA-4096,classical,classical-mod-rsa-017,moderate,0.5,0.55,False,['AES_256_GCM'],[],6.10719895362854,True,30.42,0.48,2025-10-22T09:00:14.686788,0.65,0.55,
PQC Very High - NTRU,post_quantum,pqc-veryhigh-ntru-008,very_high,0.83,0.86,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.064338684082031,True,46.46,0.66,2025-10-22T09:00:23.084173,0.52,0.72,
Hybrid Very High - RSA+PQC,hybrid,hybrid-veryhigh-rsa-012,very_high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.138882637023926,True,39.67,0.65,2025-10-22T09:00:31.543826,0.5,0.75,
PQC High - SABER,post_quantum,pqc-high-saber-009,high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.106781005859375,True,37.23,0.67,2025-10-22T09:00:39.996224,0.58,0.68,
Hybrid Very High - Mixed,hybrid,hybrid-veryhigh-mixed-014,very_high,0.81,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.109290838241577,True,28.53,0.65,2025-10-22T09:00:48.435643,0.48,0.76,
Hybrid High - ECC+PQC,hybrid,hybrid-high-ecc-013,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.12580680847168,True,35.5,0.66,2025-10-22T09:00:56.907504,0.55,0.7,
PQC Ultra - KYBER,post_quantum,pqc-ultra-kyber-006,ultra,0.92,0.95,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.075799226760864,True,51.37,0.65,2025-10-22T09:01:05.321281,0.5,0.75,
Stress - High Load + QKD,stress_test,stress-highload-019,high,0.88,0.85,True,"['AES_256_GCM', 'PQC_KYBER']",[],6.108092546463013,True,27.6,0.51,2025-10-22T09:01:13.772399,0.88,0.3,
QKD High - CV-QKD,quantum,qkd-high-cv-003,high,0.82,0.87,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.10839056968689,True,69.16,0.85,2025-10-22T09:01:22.214843,0.45,0.8,
Network - High Latency,network_conditions,network-highlatency-020,high,0.7,0.73,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.117105960845947,True,124.93,0.66,2025-10-22T09:01:30.683303,0.55,0.65,280.0
QKD Very High - DECOY,quantum,qkd-veryhigh-decoy-005,very_high,0.86,0.9,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.11662745475769,True,48.34,0.84,2025-10-22T09:01:39.144240,0.38,0.85,
Classical High - AES-256,classical,classical-high-aes256-016,high,0.65,0.7,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.105478525161743,True,35.02,0.67,2025-10-22T09:01:47.589921,0.6,0.6,
Classical High - ECC-521,classical,classical-high-ecc-018,high,0.68,0.72,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.102161169052124,True,47.23,0.67,2025-10-22T09:01:56.010656,0.62,0.58,
QKD Very High - E91,quantum,qkd-veryhigh-e91-002,very_high,0.88,0.92,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.119268178939819,True,81.05,0.83,2025-10-22T09:02:05.985099,0.35,0.88,
Hybrid Very High - Mixed,hybrid,hybrid-veryhigh-mixed-014,very_high,0.81,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.110300064086914,False,83.07,0.65,2025-10-22T09:02:14.419939,0.48,0.76,
PQC High - SABER,post_quantum,pqc-high-saber-009,high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.121211290359497,True,28.07,0.67,2025-10-22T09:02:22.878378,0.58,0.68,
PQC Ultra - KYBER,post_quantum,pqc-ultra-kyber-006,ultra,0.92,0.95,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1126909255981445,True,54.98,0.65,2025-10-22T09:02:31.329112,0.5,0.75,
Classical High - AES-256,classical,classical-high-aes256-016,high,0.65,0.7,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.128482103347778,False,100.42,0.67,2025-10-22T09:02:39.790321,0.6,0.6,
QKD High - MDI-QKD,quantum,qkd-high-mdi-004,high,0.8,0.85,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.126776933670044,False,141.91,0.85,2025-10-22T09:02:48.239466,0.48,0.78,
PQC Ultra - FALCON,post_quantum,pqc-ultra-falcon-010,ultra,0.94,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.067058324813843,True,45.33,0.65,2025-10-22T09:02:56.642812,0.48,0.78,
QKD Ultra Security - BB84,quantum,qkd-ultra-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.0933849811553955,True,51.75,0.83,2025-10-22T09:03:05.062322,0.3,0.9,
Stress - High Load + QKD,stress_test,stress-highload-019,high,0.88,0.85,True,"['AES_256_GCM', 'PQC_KYBER']",[],6.114996671676636,True,18.96,0.51,2025-10-22T09:03:13.503945,0.88,0.3,
PQC Very High - NTRU,post_quantum,pqc-veryhigh-ntru-008,very_high,0.83,0.86,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.13494873046875,False,96.1,0.66,2025-10-22T09:03:21.979404,0.52,0.72,
Classical Moderate - RSA-4096,classical,classical-mod-rsa-017,moderate,0.5,0.55,False,['AES_256_GCM'],[],6.125065326690674,False,58.28,0.48,2025-10-22T09:03:30.439670,0.65,0.55,
QKD High - CV-QKD,quantum,qkd-high-cv-003,high,0.82,0.87,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.067795753479004,True,70.02,0.85,2025-10-22T09:03:38.833907,0.45,0.8,
Network - High Latency,network_conditions,network-highlatency-020,high,0.7,0.73,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.109722852706909,True,119.25,0.66,2025-10-22T09:03:47.290035,0.55,0.65,280.0
PQC Very High - DILITHIUM,post_quantum,pqc-veryhigh-dilithium-007,very_high,0.85,0.88,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.081984043121338,True,52.8,0.66,2025-10-22T09:03:55.717730,0.55,0.7,
Hybrid Very High - RSA+PQC,hybrid,hybrid-veryhigh-rsa-012,very_high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.119269609451294,True,42.07,0.65,2025-10-22T09:04:04.169602,0.5,0.75,
Classical High - ECC-521,classical,classical-high-ecc-018,high,0.68,0.72,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.088854551315308,True,36.88,0.67,2025-10-22T09:04:12.600111,0.62,0.58,
PQC High - SPHINCS,post_quantum,pqc-high-sphincs-011,high,0.76,0.8,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.072683095932007,False,62.16,0.67,2025-10-22T09:04:21.012266,0.6,0.65,
Hybrid High - ECC+PQC,hybrid,hybrid-high-ecc-013,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.103022813796997,True,46.04,0.66,2025-10-22T09:04:29.430996,0.55,0.7,
QKD Very High - DECOY,quantum,qkd-veryhigh-decoy-005,very_high,0.86,0.9,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.0920774936676025,True,67.63,0.84,2025-10-22T09:04:37.855263,0.38,0.85,
Hybrid High - Transition,hybrid,hybrid-high-trans-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.086668491363525,True,41.38,0.67,2025-10-22T09:04:46.263338,0.58,0.68,
PQC Ultra - FALCON,post_quantum,pqc-ultra-falcon-010,ultra,0.94,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.084739923477173,True,44.51,0.65,2025-10-22T09:04:56.195253,0.48,0.78,
Stress - High Load + QKD,stress_test,stress-highload-019,high,0.88,0.85,True,"['AES_256_GCM', 'PQC_KYBER']",[],6.066035747528076,True,29.06,0.51,2025-10-22T09:05:04.591932,0.88,0.3,
PQC Very High - NTRU,post_quantum,pqc-veryhigh-ntru-008,very_high,0.83,0.86,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.108116626739502,True,53.79,0.66,2025-10-22T09:05:13.028544,0.52,0.72,
PQC Very High - DILITHIUM,post_quantum,pqc-veryhigh-dilithium-007,very_high,0.85,0.88,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.088956117630005,True,37.46,0.66,2025-10-22T09:05:21.440226,0.55,0.7,
Hybrid Very High - RSA+PQC,hybrid,hybrid-veryhigh-rsa-012,very_high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.062382936477661,True,34.37,0.65,2025-10-22T09:05:29.829485,0.5,0.75,
Classical Moderate - RSA-4096,classical,classical-mod-rsa-017,moderate,0.5,0.55,False,['AES_256_GCM'],[],6.080166816711426,True,33.79,0.48,2025-10-22T09:05:38.254648,0.65,0.55,
QKD Very High - DECOY,quantum,qkd-veryhigh-decoy-005,very_high,0.86,0.9,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.097653865814209,True,80.93,0.84,2025-10-22T09:05:46.698561,0.38,0.85,
Hybrid Very High - Mixed,hybrid,hybrid-veryhigh-mixed-014,very_high,0.81,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.091325998306274,True,48.5,0.65,2025-10-22T09:05:55.122053,0.48,0.76,
PQC Ultra - KYBER,post_quantum,pqc-ultra-kyber-006,ultra,0.92,0.95,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.12183141708374,True,41.21,0.65,2025-10-22T09:06:03.586483,0.5,0.75,
PQC High - SABER,post_quantum,pqc-high-saber-009,high,0.78,0.82,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.11866021156311,False,89.09,0.67,2025-10-22T09:06:12.046633,0.58,0.68,
Network - High Latency,network_conditions,network-highlatency-020,high,0.7,0.73,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.079149007797241,True,98.27,0.66,2025-10-22T09:06:20.452158,0.55,0.65,280.0
Classical High - ECC-521,classical,classical-high-ecc-018,high,0.68,0.72,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.14194917678833,True,54.2,0.67,2025-10-22T09:06:28.948949,0.62,0.58,
Classical High - AES-256,classical,classical-high-aes256-016,high,0.65,0.7,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.140513181686401,True,41.64,0.67,2025-10-22T09:06:37.434301,0.6,0.6,
QKD High - MDI-QKD,quantum,qkd-high-mdi-004,high,0.8,0.85,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.098240613937378,True,84.18,0.85,2025-10-22T09:06:45.875264,0.48,0.78,
PQC High - SPHINCS,post_quantum,pqc-high-sphincs-011,high,0.76,0.8,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1197874546051025,True,44.36,0.67,2025-10-22T09:06:54.324397,0.6,0.65,
QKD Ultra Security - BB84,quantum,qkd-ultra-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.124394416809082,True,67.16,0.83,2025-10-22T09:07:02.773947,0.3,0.9,
QKD High - CV-QKD,quantum,qkd-high-cv-003,high,0.82,0.87,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.107736587524414,True,84.22,0.85,2025-10-22T09:07:11.212115,0.45,0.8,
Hybrid High - Transition,hybrid,hybrid-high-trans-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.115338325500488,True,41.78,0.67,2025-10-22T09:07:19.670327,0.58,0.68,
QKD Very High - E91,quantum,qkd-veryhigh-e91-002,very_high,0.88,0.92,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.084866523742676,True,70.28,0.83,2025-10-22T09:07:28.076981,0.35,0.88,
