scenario_name,scenario_category,expected_algorithm,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,timestamp
PQC NTRU - Very High Security,pqc_ntru,PQC_NTRU,pqc-ntru-007,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.125316143035889,True,66.36,0.52,2025-10-23T14:28:40.514857
FALLBACK AES - Low Resources,fallback,FALLBACK_AES,fallback-aes-016,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.10197377204895,True,45.63,0.51,2025-10-23T14:28:48.876962
PQC KYBER - Ultra Security,pqc_kyber,PQC_KYBER,pqc-kyber-005,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.132205247879028,True,39.1,0.57,2025-10-23T14:28:57.256816
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.1165289878845215,True,65.16,0.79,2025-10-23T14:29:05.628002
ECC 521 - High Security,classical_ecc,ECC_521,ecc-521-013,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.111927509307861,True,63.28,0.45,2025-10-23T14:29:13.965995
PQC FALCON - Ultra Security,pqc_falcon,PQC_FALCON,pqc-falcon-009,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.055496454238892,True,58.09,0.5,2025-10-23T14:29:22.257947
AES 256 GCM - Moderate Security,classical_aes,AES_256_GCM,aes-256-014,moderate,0.55,0.6,False,['AES_256_GCM'],[],6.1153271198272705,True,21.73,0.51,2025-10-23T14:29:30.612585
HYBRID ECC+PQC - High,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-011,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1085474491119385,True,51.82,0.58,2025-10-23T14:29:38.962735
QKD E91 - Very High Security,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.133131265640259,False,126.58,0.74,2025-10-23T14:29:47.331794
RSA 4096 - High Security,classical_rsa,RSA_4096,rsa-4096-012,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.0954084396362305,False,54.38,0.48,2025-10-23T14:29:55.665614
PQC SABER - High Security,pqc_saber,PQC_SABER,pqc-saber-008,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.139642953872681,True,60.7,0.56,2025-10-23T14:30:04.031627
AES 192 - Moderate Security,classical_aes192,AES_192,aes-192-015,moderate,0.5,0.55,False,['AES_256_GCM'],[],6.1018595695495605,True,56.76,0.45,2025-10-23T14:30:12.370314
QKD MDI-QKD - High Security,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.088865041732788,False,142.21,0.77,2025-10-23T14:30:20.697986
PQC DILITHIUM - Very High Security,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-006,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1183857917785645,True,70.88,0.59,2025-10-23T14:30:29.058512
