scenario_name,scenario_category,expected_algorithm,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,timestamp
PQC NTRU - Very High Security,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.084807395935059,False,68.02,0.56,2025-10-24T07:18:58.576169
AES 192 - Moderate Security,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,['AES_256_GCM'],[],6.115666151046753,False,65.5,0.26,2025-10-24T07:19:06.912618
AES 256 GCM - Moderate Security,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,['AES_256_GCM'],[],6.1480748653411865,True,29.19,0.28,2025-10-24T07:19:15.300729
PQC SABER - High Security,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.080276727676392,True,69.23,0.57,2025-10-24T07:19:23.631879
ChaCha20-Poly1305 - Moderate,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,['AES_256_GCM'],[],6.11371111869812,True,70.34,0.53,2025-10-24T07:19:31.972664
PQC KYBER - Ultra Security,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.131832122802734,True,33.79,0.52,2025-10-24T07:19:40.339158
QKD MDI-QKD - High Security,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.0728724002838135,True,116.6,0.73,2025-10-24T07:19:48.645373
PQC FALCON - Ultra Security,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.113854646682739,False,89.8,0.59,2025-10-24T07:19:56.981310
HYBRID QKD+PQC - Ultra Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.139453172683716,False,103.98,0.79,2025-10-24T07:20:05.359361
PQC DILITHIUM - Very High Security,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.098639726638794,True,58.54,0.58,2025-10-24T07:20:13.683701
