scenario_name,scenario_category,expected_algorithm,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,timestamp
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.122673749923706,False,84.55,1.0,2025-10-26T08:10:52.939473
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.139227390289307,False,86.21,1.0,2025-10-26T08:11:01.219187
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['HYBRID_ECC_PQC', 'AES_256_GCM']",[],6.118612051010132,True,102.32,1.0,2025-10-26T08:11:09.462308
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.083828449249268,True,53.41,0.69,2025-10-26T08:11:17.681237
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.094292640686035,False,74.1,0.9,2025-10-26T08:11:25.916194
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.129819869995117,False,92.61,1.0,2025-10-26T08:11:34.183805
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.107196092605591,True,127.11,1.0,2025-10-26T08:11:42.427044
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.0921173095703125,True,8.97,0.28,2025-10-26T08:11:50.632783
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1150596141815186,True,70.57,1.0,2025-10-26T08:11:58.868474
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.110706090927124,False,75.82,1.0,2025-10-26T08:12:07.121725
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.125185012817383,False,159.96,1.0,2025-10-26T08:12:15.374295
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.127263307571411,True,21.24,0.54,2025-10-26T08:12:23.639931
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.076518774032593,False,93.73,1.0,2025-10-26T08:12:31.842816
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1092681884765625,False,73.91,0.72,2025-10-26T08:12:40.092416
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.1024250984191895,True,33.01,0.67,2025-10-26T08:12:48.324506
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.130046129226685,False,163.39,1.0,2025-10-26T08:12:56.579600
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.099785804748535,True,65.2,0.71,2025-10-26T08:13:04.830750
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.101987600326538,True,219.48,1.0,2025-10-26T08:13:13.075555
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.128791570663452,True,116.85,1.0,2025-10-26T08:13:21.336749
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.090627193450928,False,165.31,1.0,2025-10-26T08:13:29.575615
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.1181480884552,True,39.99,0.67,2025-10-26T08:13:38.120303
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.0880913734436035,False,72.2,0.72,2025-10-26T08:13:46.351332
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.112691879272461,False,100.62,1.0,2025-10-26T08:13:54.615812
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.071240425109863,False,150.61,1.0,2025-10-26T08:14:02.839412
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.140698432922363,False,135.24,1.0,2025-10-26T08:14:11.117190
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.104732513427734,False,81.84,1.0,2025-10-26T08:14:19.366582
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.139835596084595,True,62.74,0.71,2025-10-26T08:14:27.636889
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.103561639785767,False,80.93,1.0,2025-10-26T08:14:35.887954
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1499924659729,True,55.51,1.0,2025-10-26T08:14:44.169053
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.123056411743164,True,93.2,0.89,2025-10-26T08:14:52.433047
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.122219800949097,False,87.02,1.0,2025-10-26T08:15:00.700003
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.1223976612091064,False,159.07,1.0,2025-10-26T08:15:08.968914
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.108372688293457,False,58.26,0.69,2025-10-26T08:15:17.213263
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.075983762741089,False,76.52,1.0,2025-10-26T08:15:25.400439
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.129567623138428,True,97.4,1.0,2025-10-26T08:15:33.661189
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.0729498863220215,False,180.15,1.0,2025-10-26T08:15:41.861874
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.122234106063843,False,104.64,1.0,2025-10-26T08:15:50.102454
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.127390146255493,True,10.96,0.29,2025-10-26T08:15:58.372613
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.124229907989502,True,20.96,0.51,2025-10-26T08:16:06.647380
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.13918662071228,False,127.07,1.0,2025-10-26T08:16:14.920460
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.096693515777588,False,174.0,1.0,2025-10-26T08:16:23.447585
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.106235027313232,False,127.99,1.0,2025-10-26T08:16:31.679725
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.120117664337158,False,56.24,1.0,2025-10-26T08:16:39.935477
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.090340614318848,False,65.82,0.73,2025-10-26T08:16:48.180137
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.142026662826538,False,84.14,1.0,2025-10-26T08:16:56.473388
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.132582426071167,False,84.23,1.0,2025-10-26T08:17:04.730348
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.112846851348877,True,19.15,0.54,2025-10-26T08:17:12.978216
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.157458543777466,False,64.35,0.68,2025-10-26T08:17:21.273148
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.065397262573242,False,66.11,0.7,2025-10-26T08:17:29.487308
