scenario_name,scenario_category,expected_algorithm,request_id,security_level,risk_score,conf_score,has_qkd,proposed_algorithms,fallback_algorithms,response_time,feedback_success,feedback_latency,feedback_resource_usage,diversity_penalty,diversity_bonus,base_success_prob,timestamp
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.135320663452148,True,45.1,0.78,0.0,0.0,0.93,2025-12-10T07:22:08.523114
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.151291608810425,True,107.59,1.0,0.0,0.0,0.55,2025-12-10T07:22:16.931196
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.128005266189575,False,217.2,1.0,0.0,0.0,0.55,2025-12-10T07:22:25.296653
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.1532838344573975,False,307.38,1.0,0.0,0.0,0.55,2025-12-10T07:22:33.697064
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.130176544189453,False,253.14,1.0,0.0,0.0,0.55,2025-12-10T07:22:42.080218
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.115461587905884,True,25.55,0.59,0.0,0.0,0.93,2025-12-10T07:22:50.442037
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.133917808532715,True,42.86,0.79,0.0,0.0,0.55,2025-12-10T07:22:58.835307
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1229918003082275,True,51.82,0.82,0.0,0.0,0.55,2025-12-10T07:23:07.197992
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.129051923751831,True,36.29,0.84,0.0,0.0,0.55,2025-12-10T07:23:15.582235
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1337571144104,False,141.18,0.84,0.0,0.0,0.55,2025-12-10T07:23:23.970711
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.142422676086426,False,195.66,0.81,0.0,0.0,0.55,2025-12-10T07:23:32.354776
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.112160921096802,False,313.95,1.0,0.0,0.0,0.55,2025-12-10T07:23:40.716388
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.126761198043823,False,105.16,0.83,0.0,0.0,0.55,2025-12-10T07:23:49.088917
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.142882823944092,True,50.54,0.85,0.0,0.0,0.55,2025-12-10T07:23:57.478361
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,['AES_256_GCM'],[],6.144792556762695,True,50.07,0.6,0.0,0.0,0.55,2025-12-10T07:24:05.854052
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.1532580852508545,False,101.77,0.57,0.0,0.0,0.55,2025-12-10T07:24:14.263482
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.152100324630737,True,12.07,0.36,0.0,0.0,0.93,2025-12-10T07:24:22.670675
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['AES_192', 'AES_256_GCM']",[],6.121549606323242,True,10.82,0.32,0.05,0.05,0.93,2025-12-10T07:24:31.050256
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,['AES_256_GCM'],[],6.1233131885528564,True,35.17,0.46,0.05,0.0,0.5,2025-12-10T07:24:39.416937
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.0944602489471436,False,121.36,0.37,0.05,0.05,0.525,2025-12-10T07:24:47.770787
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.079968690872192,True,42.02,0.77,0.05,0.05,0.93,2025-12-10T07:24:56.605762
QKD E91 - Entanglement Based,quantum_e91,QKD_E91,qkd-e91-002,very_high,0.9,0.93,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.090813398361206,True,103.63,1.0,0.05,0.0,0.5,2025-12-10T07:25:04.933889
QKD CV-QKD - Continuous Variable,quantum_cv,QKD_CV-QKD,qkd-cv-003,high,0.85,0.88,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.130677938461304,False,216.6,1.0,0.05,0.0,0.5,2025-12-10T07:25:13.310816
QKD MDI-QKD - Measurement Device Independent,quantum_mdi,QKD_MDI-QKD,qkd-mdi-004,high,0.83,0.86,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.142026424407959,True,90.6,1.0,0.05,0.0,0.5,2025-12-10T07:25:21.698955
QKD DECOY - Decoy State Protocol,quantum_decoy,QKD_DECOY,qkd-decoy-005,very_high,0.91,0.94,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.129977226257324,False,231.05,1.0,0.05,0.0,0.5,2025-12-10T07:25:30.073427
PQC KYBER - Post-Quantum KEM,pqc_kyber,PQC_KYBER,pqc-kyber-006,ultra,0.93,0.96,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.121925354003906,True,27.58,0.6,0.05,0.0,0.88,2025-12-10T07:25:38.439737
PQC DILITHIUM - Digital Signature,pqc_dilithium,PQC_DILITHIUM,pqc-dilithium-007,very_high,0.88,0.91,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.135316610336304,False,145.09,0.81,0.05,0.0,0.5,2025-12-10T07:25:46.822594
PQC NTRU - Lattice-Based Encryption,pqc_ntru,PQC_NTRU,pqc-ntru-008,very_high,0.86,0.89,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.10387396812439,True,43.13,0.84,0.05,0.0,0.5,2025-12-10T07:25:55.182593
PQC SABER - Module Learning,pqc_saber,PQC_SABER,pqc-saber-009,high,0.8,0.84,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.151777505874634,True,56.99,0.8,0.05,0.0,0.5,2025-12-10T07:26:03.556659
PQC FALCON - Fast Fourier Lattice,pqc_falcon,PQC_FALCON,pqc-falcon-010,ultra,0.94,0.97,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.143106698989868,True,44.62,0.84,0.1,0.0,0.45,2025-12-10T07:26:11.938813
PQC SPHINCS+ - Stateless Hash-Based,pqc_sphincs,PQC_SPHINCS,pqc-sphincs-011,very_high,0.89,0.92,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.084446907043457,True,55.31,0.81,0.1,0.0,0.45,2025-12-10T07:26:20.268605
HYBRID QKD+PQC - Maximum Security,hybrid_qkd_pqc,HYBRID_QKD_PQC,hybrid-qkd-pqc-012,ultra,0.97,0.99,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.120814561843872,False,299.18,1.0,0.1,0.0,0.45,2025-12-10T07:26:28.628094
HYBRID RSA+PQC - Transition Security,hybrid_rsa,HYBRID_RSA_PQC,hybrid-rsa-013,very_high,0.82,0.85,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.131793737411499,True,50.17,0.83,0.1,0.0,0.45,2025-12-10T07:26:37.008427
HYBRID ECC+PQC - Elliptic Curve Hybrid,hybrid_ecc,HYBRID_ECC_PQC,hybrid-ecc-014,high,0.75,0.79,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.075541257858276,True,52.77,0.83,0.1,0.0,0.45,2025-12-10T07:26:45.337836
RSA 4096 - Classical Strong,classical_rsa,RSA_4096,rsa-4096-015,high,0.7,0.74,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.122859716415405,True,37.18,0.62,0.1,0.0,0.45,2025-12-10T07:26:53.708100
ECC 521 - Elliptic Curve,classical_ecc,ECC_521,ecc-521-016,high,0.72,0.76,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.158766508102417,True,45.08,0.57,0.1,0.0,0.45,2025-12-10T07:27:02.097254
AES 256 GCM - Symmetric Encryption,classical_aes256,AES_256_GCM,aes-256-017,moderate,0.55,0.6,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.109249114990234,True,12.46,0.35,0.1,0.0,0.83,2025-12-10T07:27:10.463650
AES 192 - Medium Symmetric,classical_aes192,AES_192,aes-192-018,moderate,0.5,0.55,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.137280464172363,False,108.79,0.42,0.1,0.0,0.45,2025-12-10T07:27:18.850604
ChaCha20-Poly1305 - Stream Cipher,classical_chacha,CHACHA20_POLY1305,chacha20-019,moderate,0.52,0.57,False,"['PQC_KYBER', 'AES_256_GCM']",[],6.12017560005188,True,30.92,0.48,0.1,0.0,0.45,2025-12-10T07:27:27.200253
FALLBACK AES - Emergency Mode,fallback,FALLBACK_AES,fallback-aes-020,moderate,0.6,0.65,False,"['AES_192', 'AES_256_GCM']",[],6.110271453857422,False,88.11,0.37,0.05,0.05,0.525,2025-12-10T07:27:35.552918
QKD BB84 - Ultra Security,quantum_bb84,QKD_BB84,qkd-bb84-001,ultra,0.95,0.98,True,"['QKD_BB84', 'PQC_KYBER', 'AES_256_GCM']",[],6.113863468170166,True,55.39,0.8,0.1,0.05,0.88,2025-12-10T07:27:44.396701
