episode,iteration,expected,proposed,match,success,latency_ms,resource_usage
1,1,QKD_BB84,QKD_BB84,True,True,56.16,0.86
1,1,QKD_E91,QKD_E91,True,True,72.33,0.87
1,1,QKD_CV-QKD,QKD_CV-QKD,True,True,47.11,0.91
1,1,QKD_MDI-QKD,QKD_MDI-QKD,True,True,53.11,0.89
1,1,QKD_DECOY,QKD_DECOY,True,True,51.45,0.87
1,1,PQC_KYBER,PQC_KYBER,True,True,30.12,0.7
1,1,PQC_DILITHIUM,PQC_DILITHIUM,True,True,29.55,0.69
1,1,PQC_NTRU,PQC_NTRU,True,True,37.93,0.67
1,1,PQC_SABER,PQC_SABER,True,True,29.77,0.67
1,1,PQC_FALCON,PQC_FALCON,True,True,44.36,0.65
1,1,PQC_SPHINCS,PQC_SPHINCS,True,True,42.9,0.7
1,1,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,48.7,0.88
1,1,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,45.43,0.66
1,1,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,38.66,0.71
1,1,RSA_4096,RSA_4096,True,True,24.23,0.51
1,1,ECC_521,ECC_521,True,True,36.51,0.47
1,1,AES_256_GCM,AES_256_GCM,True,True,10.23,0.38
1,1,AES_192,AES_192,True,True,23.79,0.37
1,1,CHACHA20_POLY1305,CHACHA20_POLY1305,True,False,111.02,0.47
1,1,FALLBACK_AES,FALLBACK_AES,True,True,28.52,0.34
1,2,QKD_BB84,QKD_BB84,True,True,73.27,0.86
1,2,QKD_E91,QKD_E91,True,True,56.37,0.86
1,2,QKD_CV-QKD,QKD_CV-QKD,True,True,73.42,0.88
1,2,QKD_MDI-QKD,QKD_MDI-QKD,True,True,70.13,0.88
1,2,QKD_DECOY,QKD_DECOY,True,True,63.42,0.89
1,2,PQC_KYBER,PQC_KYBER,True,True,42.8,0.67
1,2,PQC_DILITHIUM,PQC_DILITHIUM,True,True,45.72,0.68
1,2,PQC_NTRU,PQC_NTRU,True,True,37.46,0.69
1,2,PQC_SABER,PQC_SABER,True,True,41.43,0.68
1,2,PQC_FALCON,PQC_FALCON,True,True,44.4,0.68
1,2,PQC_SPHINCS,PQC_SPHINCS,True,True,31.27,0.67
1,2,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,71.47,0.9
1,2,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,35.17,0.7
1,2,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,49.91,0.65
1,2,RSA_4096,HYBRID_QKD_PQC,False,True,68.53,0.91
1,2,ECC_521,ECC_521,True,True,28.56,0.5
1,2,AES_256_GCM,AES_256_GCM,True,True,17.13,0.37
1,2,AES_192,AES_192,True,True,17.66,0.34
1,2,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,14.45,0.38
1,2,FALLBACK_AES,FALLBACK_AES,True,True,17.8,0.36
1,3,QKD_BB84,QKD_BB84,True,True,46.51,0.88
1,3,QKD_E91,QKD_E91,True,True,57.96,0.88
1,3,QKD_CV-QKD,QKD_MDI-QKD,False,True,52.08,0.87
1,3,QKD_MDI-QKD,QKD_MDI-QKD,True,True,73.17,0.85
1,3,QKD_DECOY,QKD_DECOY,True,True,56.3,0.88
1,3,PQC_KYBER,PQC_KYBER,True,True,48.27,0.67
1,3,PQC_DILITHIUM,PQC_DILITHIUM,True,True,31.54,0.69
1,3,PQC_NTRU,PQC_NTRU,True,True,29.84,0.68
1,3,PQC_SABER,PQC_SABER,True,True,34.3,0.69
1,3,PQC_FALCON,PQC_FALCON,True,True,36.31,0.7
1,3,PQC_SPHINCS,PQC_SPHINCS,True,True,44.23,0.68
1,3,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,52.34,0.87
1,3,HYBRID_RSA_PQC,CHACHA20_POLY1305,False,True,25.07,0.43
1,3,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,39.85,0.67
1,3,RSA_4096,RSA_4096,True,True,30.38,0.51
1,3,ECC_521,ECC_521,True,True,29.97,0.48
1,3,AES_256_GCM,AES_256_GCM,True,True,12.58,0.38
1,3,AES_192,AES_192,True,False,100.85,0.39
1,3,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,31.3,0.38
1,3,FALLBACK_AES,FALLBACK_AES,True,True,28.64,0.37
1,4,QKD_BB84,QKD_BB84,True,True,70.68,0.89
1,4,QKD_E91,QKD_E91,True,True,47.36,0.87
1,4,QKD_CV-QKD,QKD_CV-QKD,True,True,53.85,0.86
1,4,QKD_MDI-QKD,QKD_MDI-QKD,True,True,67.53,0.87
1,4,QKD_DECOY,QKD_DECOY,True,True,69.5,0.87
1,4,PQC_KYBER,PQC_KYBER,True,True,31.41,0.66
1,4,PQC_DILITHIUM,PQC_DILITHIUM,True,True,36.3,0.71
1,4,PQC_NTRU,PQC_NTRU,True,True,41.13,0.69
1,4,PQC_SABER,PQC_SABER,True,True,26.46,0.68
1,4,PQC_FALCON,PQC_FALCON,True,True,44.89,0.65
1,4,PQC_SPHINCS,PQC_SPHINCS,True,True,43.44,0.68
1,4,HYBRID_QKD_PQC,HYBRID_QKD_PQC,True,True,50.68,0.85
1,4,HYBRID_RSA_PQC,HYBRID_RSA_PQC,True,True,27.14,0.69
1,4,HYBRID_ECC_PQC,HYBRID_ECC_PQC,True,True,30.84,0.65
1,4,RSA_4096,RSA_4096,True,True,21.88,0.54
1,4,ECC_521,ECC_521,True,True,31.25,0.47
1,4,AES_256_GCM,AES_256_GCM,True,True,25.2,0.38
1,4,AES_192,AES_192,True,True,24.41,0.33
1,4,CHACHA20_POLY1305,CHACHA20_POLY1305,True,True,18.04,0.43
1,4,FALLBACK_AES,FALLBACK_AES,True,True,16.28,0.33
1,5,QKD_BB84,QKD_BB84,True,True,70.6,0.89
